"url_bulletins","data","host","new_cases","total_cases"
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_01.pdf",2014-09-02,"humans",5,5
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_02.pdf",2014-09-09,"humans",7,12
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_03.pdf",2014-09-17,"humans",2,14
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_04.pdf",2014-09-24,"humans",2,16
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_05.pdf",2014-10-01,"humans",3,19
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_06.pdf",2014-10-08,"humans",1,20
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_07.pdf",2014-10-15,"humans",4,24
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_08.pdf",2014-10-22,"humans",0,24
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_09.pdf",2014-10-29,"humans",0,24
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_10.pdf",2014-11-05,"humans",0,24
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_11.pdf",2014-11-12,"humans",0,24
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_12.pdf",2014-11-19,"humans",0,24
"https://github.com/fbranda/west-nile/blob/main/2014/bulletins/WN_News_2014_13.pdf",2014-11-26,"humans",0,24
