"url_bulletins","data","host","new_cases","total_cases"
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_01.pdf",2021-07-21,"uomini",1,1
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_01.pdf",2021-07-25,"equids",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_01.pdf",2021-07-25,"target birds",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_01.pdf",2021-07-25,"wild birds",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_01.pdf",2021-07-25,"mosquitoes",1,1
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_02.pdf",2021-07-28,"uomini",0,1
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_02.pdf",2021-07-28,"equids",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_02.pdf",2021-07-28,"target birds",2,2
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_02.pdf",2021-07-28,"wild birds",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_02.pdf",2021-07-28,"mosquitoes",1,2
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_03.pdf",2021-08-04,"uomini",1,2
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_03.pdf",2021-08-04,"equids",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_03.pdf",2021-08-04,"target birds",2,4
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_03.pdf",2021-08-04,"wild birds",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_03.pdf",2021-08-04,"mosquitoes",3,5
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_04.pdf",2021-08-11,"uomini",4,6
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_04.pdf",2021-08-11,"equids",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_04.pdf",2021-08-11,"target birds",1,5
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_04.pdf",2021-08-11,"wild birds",1,1
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_04.pdf",2021-08-11,"mosquitoes",9,14
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_05.pdf",2021-08-18,"uomini",5,11
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_05.pdf",2021-08-18,"equids",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_05.pdf",2021-08-18,"target birds",2,7
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_05.pdf",2021-08-18,"wild birds",0,1
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_05.pdf",2021-08-18,"mosquitoes",7,21
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_06.pdf",2021-08-25,"uomini",7,18
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_06.pdf",2021-08-25,"equids",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_06.pdf",2021-08-25,"target birds",6,13
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_06.pdf",2021-08-25,"wild birds",0,1
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_06.pdf",2021-08-25,"mosquitoes",19,40
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_07.pdf",2021-09-01,"uomini",6,24
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_07.pdf",2021-09-01,"equids",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_07.pdf",2021-09-01,"target birds",4,17
"https://github.com/fbranda/west-nile/blob/main/2021/bulletins/WN_News_2021_07.pdf",2021-09-01,"wild birds",9,10
