url_bollettino,data,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,nuovi_casi,casi_totali,nuovi_morti_abbattuti,totale_morti_abbattuti,equidi_presenti_focolaio
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_01.pdf,2019-07-31,8,Emilia-Romagna,34,Parma,PR,44.80107394,10.32834985,1,1,0,0,NA
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_02.pdf,2019-08-07,8,Emilia-Romagna,34,Parma,PR,44.80107394,10.32834985,0,1,0,0,NA
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_03.pdf,2019-08-21,8,Emilia-Romagna,34,Parma,PR,44.80107394,10.32834985,0,1,0,0,2
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_03.pdf,2019-08-21,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,1,1,0,0,26
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_04.pdf,2019-08-28,8,Emilia-Romagna,34,Parma,PR,44.80107394,10.32834985,0,1,0,0,2
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_04.pdf,2019-08-28,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,1,2,1,1,34
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_05.pdf,2019-09-04,8,Emilia-Romagna,34,Parma,PR,44.80107394,10.32834985,0,1,0,0,2
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_05.pdf,2019-09-04,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,0,2,0,1,34
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_06.pdf,2019-09-11,3,Lombardia,17,Brescia,BS,45.53993052,10.21910323,1,1,1,1,19
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_06.pdf,2019-09-11,8,Emilia-Romagna,34,Parma,PR,44.80107394,10.32834985,0,1,0,0,2
https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_06.pdf,2019-09-11,1,Piemonte,1,Torino,TO,45.0732745,7.680687483,0,2,0,1,34
