"url_bulletins","data","host","new_cases","total_cases"
"https://github.com/fbranda/west-nile/blob/main/2015/bulletins/WN_News_2015_01.pdf",2015-07-29,"humans",2,2
"https://github.com/fbranda/west-nile/blob/main/2015/bulletins/WN_News_2015_02-4.pdf",2015-08-05,"humans",2,4
"https://github.com/fbranda/west-nile/blob/main/2015/bulletins/WN_News_2015_03.pdf",2015-09-02,"humans",26,30
"https://github.com/fbranda/west-nile/blob/main/2015/bulletins/WN_News_2015_04.pdf",2015-09-09,"humans",6,36
"https://github.com/fbranda/west-nile/blob/main/2015/bulletins/WN_News_2015_05.pdf",2015-09-16,"humans",5,41
"https://github.com/fbranda/west-nile/blob/main/2015/bulletins/WN_News_2015_06.pdf",2015-09-23,"humans",11,52
"https://github.com/fbranda/west-nile/blob/main/2015/bulletins/WN_News_2015_07.pdf",2015-09-30,"humans",0,52
"https://github.com/fbranda/west-nile/blob/main/2015/bulletins/WN_News_2015_08.pdf",2015-10-07,"humans",7,58
"https://github.com/fbranda/west-nile/blob/main/2015/bulletins/WN_News_2015_09.pdf",2015-10-14,"humans",0,58
"https://github.com/fbranda/west-nile/blob/main/2015/bulletins/WN_News_2015_10.pdf",2015-10-21,"humans",0,58
"https://github.com/fbranda/west-nile/blob/main/2015/bulletins/WN_News_2015_11.pdf",2015-10-28,"humans",1,59
"https://github.com/fbranda/west-nile/blob/main/2015/bulletins/WN_News_2015_11.pdf",2015-11-29,"humans",2,61
