"url_bulletins","data","host","new_cases","total_cases"
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_01.pdf",2024-06-26,"humans","2",2
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_01.pdf",2024-06-26,"mosquitoes","1",1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_02.pdf",2024-07-03,"humans","0",2
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_02.pdf",2024-07-03,"mosquitoes","0",1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_03.pdf",2024-07-14,"humans","1",3
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_03.pdf",2024-07-14,"wild birds","1",1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_03.pdf",2024-07-14,"mosquitoes","2",3
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_04.pdf",2024-07-17,"humans","3",6
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_04.pdf",2024-07-17,"wild birds","1",2
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_04.pdf",2024-07-17,"mosquitoes","6",9
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,"humans","7",13
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,"target birds","2",2
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,"wild birds","0",2
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,"mosquitoes","16",25
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_06.pdf",2024-07-31,"humans","15",28
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_06.pdf",2024-07-31,"target birds","6",8
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_06.pdf",2024-07-31,"wild birds","2",4
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_06.pdf",2024-07-31,"mosquitoes","21",46
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_07.pdf",2024-08-07,"humans","24",52
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_07.pdf",2024-08-07,"equids","1",1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_07.pdf",2024-08-07,"target birds","4",12
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_07.pdf",2024-08-07,"wild birds","6",10
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_07.pdf",2024-08-07,"mosquitoes","36",82
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_08.pdf",2024-08-14,"humans","8",60
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_08.pdf",2024-08-14,"equids","1",2
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_08.pdf",2024-08-14,"target birds","28",40
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_08.pdf",2024-08-14,"wild birds","12",22
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_08.pdf",2024-08-14,"mosquitoes","0",82
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_09.pdf",2024-08-21,"humans","111",171
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_09.pdf",2024-08-21,"equids","6",8
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_09.pdf",2024-08-21,"target birds","17",57
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_09.pdf",2024-08-21,"wild birds","13",35
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_09.pdf",2024-08-21,"mosquitoes","24",106
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_10.pdf",2024-08-28,"humans","61",232
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_10.pdf",2024-08-28,"equids","0",8
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_10.pdf",2024-08-28,"target birds","19",76
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_10.pdf",2024-08-28,"wild birds","32",67
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_10.pdf",2024-08-28,"mosquitoes","23",129
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_11.pdf",2024-09-04,"humans","64",296
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_11.pdf",2024-09-04,"equids","3",11
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_11.pdf",2024-09-04,"target birds","19",95
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_11.pdf",2024-09-04,"wild birds","24",91
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_11.pdf",2024-09-04,"mosquitoes","5",134
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_12.pdf",2024-09-11,"humans","35",331
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_12.pdf",2024-09-11,"equids","6",17
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_12.pdf",2024-09-11,"target birds","8",103
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_12.pdf",2024-09-11,"wild birds","34",125
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_12.pdf",2024-09-11,"mosquitoes","12",146
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_13.pdf",2024-09-18,"humans","51",382
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_13.pdf",2024-09-18,"equids","5",22
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_13.pdf",2024-09-18,"target birds","19",122
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_13.pdf",2024-09-18,"wild birds","29",154
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_13.pdf",2024-09-18,"mosquitoes","7",153
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_14.pdf",2024-09-25,"humans","35",417
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_14.pdf",2024-09-25,"equids","3",25
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_14.pdf",2024-09-25,"target birds","19",141
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_14.pdf",2024-09-25,"wild birds","21",175
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_14.pdf",2024-09-25,"mosquitoes","0",153
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_15.pdf",2024-10-02,"humans","17",434
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_15.pdf",2024-10-02,"equids","1",26
