"url_bulletins","data","host","new_cases","total_cases"
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_01.pdf",2017-08-02,"humans",4,4
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_01.pdf",2017-08-02,"equids",1,1
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_01.pdf",2017-08-02,"target birds",5,5
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_01.pdf",2017-08-02,"wild birds",1,1
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_01.pdf",2017-08-02,"mosquitoes",10,10
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_02.pdf",2017-08-10,"humans",NA,3
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_02.pdf",2017-08-10,"equids",1,2
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_02.pdf",2017-08-10,"target birds",1,6
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_02.pdf",2017-08-10,"wild birds",0,1
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_02.pdf",2017-08-10,"mosquitoes",8,18
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_03.pdf",2017-08-30,"humans",27,26
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_03.pdf",2017-08-30,"equids",23,25
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_03.pdf",2017-08-30,"target birds",5,11
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_03.pdf",2017-08-30,"wild birds",0,1
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_03.pdf",2017-08-30,"mosquitoes",30,48
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_04.pdf",2017-09-06,"humans",4,31
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_04.pdf",2017-09-06,"equids",6,31
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_04.pdf",2017-09-06,"target birds",0,11
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_04.pdf",2017-09-06,"wild birds",6,7
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_04.pdf",2017-09-06,"mosquitoes",10,58
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_05.pdf",2017-09-13,"humans",31,35
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_05.pdf",2017-09-13,"equids",15,46
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_05.pdf",2017-09-13,"target birds",6,17
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_05.pdf",2017-09-13,"wild birds",2,9
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_05.pdf",2017-09-13,"mosquitoes",7,65
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_06.pdf",2017-09-20,"humans",14,45
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_06.pdf",2017-09-20,"equids",9,55
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_06.pdf",2017-09-20,"target birds",0,17
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_06.pdf",2017-09-20,"wild birds",0,9
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_06.pdf",2017-09-20,"mosquitoes",5,70
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_07.pdf",2017-09-27,"humans",34,48
