url_bollettino,data,host,nuovi_casi,casi_totali
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf,2017-10-25T00:00:00Z,uomini,35,53
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf,2017-10-25T00:00:00Z,equidi,0,79
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf,2017-10-25T00:00:00Z,uccelli bersaglio,1,32
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf,2017-10-25T00:00:00Z,uccelli selvatici,0,19
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf,2017-10-25T00:00:00Z,zanzare,0,73
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_12.pdf,2017-11-02T00:00:00Z,uomini,20,55
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_12.pdf,2017-11-02T00:00:00Z,equidi,6,85
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_12.pdf,2017-11-02T00:00:00Z,uccelli bersaglio,1,33
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_12.pdf,2017-11-02T00:00:00Z,uccelli selvatici,0,19
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_12.pdf,2017-11-02T00:00:00Z,zanzare,0,73
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_13.pdf,2017-11-08T00:00:00Z,uomini,35,55
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_13.pdf,2017-11-08T00:00:00Z,equidi,1,86
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_13.pdf,2017-11-08T00:00:00Z,uccelli bersaglio,0,33
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_13.pdf,2017-11-08T00:00:00Z,uccelli selvatici,0,19
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_13.pdf,2017-11-08T00:00:00Z,zanzare,0,73
