"url_bollettino","data","host","nuovi_casi","casi_totali"
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_01.pdf",2021-07-21,"uomini",1,1
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_01.pdf",2021-07-25,"equidi",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_01.pdf",2021-07-25,"uccelli bersaglio",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_01.pdf",2021-07-25,"uccelli selvatici",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_01.pdf",2021-07-25,"zanzare",1,1
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_02.pdf",2021-07-28,"uomini",0,1
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_02.pdf",2021-07-28,"equidi",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_02.pdf",2021-07-28,"uccelli bersaglio",2,2
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_02.pdf",2021-07-28,"uccelli selvatici",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_02.pdf",2021-07-28,"zanzare",1,2
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_03.pdf",2021-08-04,"uomini",1,2
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_03.pdf",2021-08-04,"equidi",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_03.pdf",2021-08-04,"uccelli bersaglio",2,4
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_03.pdf",2021-08-04,"uccelli selvatici",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_03.pdf",2021-08-04,"zanzare",3,5
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_04.pdf",2021-08-11,"uomini",4,6
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_04.pdf",2021-08-11,"equidi",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_04.pdf",2021-08-11,"uccelli bersaglio",1,5
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_04.pdf",2021-08-11,"uccelli selvatici",1,1
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_04.pdf",2021-08-11,"zanzare",9,14
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_05.pdf",2021-08-18,"uomini",5,11
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_05.pdf",2021-08-18,"equidi",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_05.pdf",2021-08-18,"uccelli bersaglio",2,7
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_05.pdf",2021-08-18,"uccelli selvatici",0,1
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_05.pdf",2021-08-18,"zanzare",7,21
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_06.pdf",2021-08-25,"uomini",7,18
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_06.pdf",2021-08-25,"equidi",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_06.pdf",2021-08-25,"uccelli bersaglio",6,13
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_06.pdf",2021-08-25,"uccelli selvatici",0,1
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_06.pdf",2021-08-25,"zanzare",19,40
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_07.pdf",2021-09-01,"uomini",6,24
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_07.pdf",2021-09-01,"equidi",0,0
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_07.pdf",2021-09-01,"uccelli bersaglio",4,17
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_07.pdf",2021-09-01,"uccelli selvatici",9,10
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_07.pdf",2021-09-01,"zanzare",14,54
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_08.pdf",2021-09-08,"uomini",3,27
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_08.pdf",2021-09-08,"equidi",1,1
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_08.pdf",2021-09-08,"uccelli bersaglio",2,19
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_08.pdf",2021-09-08,"uccelli selvatici",2,12
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_08.pdf",2021-09-08,"zanzare",12,66
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_09.pdf",2021-09-15,"uomini",5,32
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_09.pdf",2021-09-15,"equidi",0,1
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_09.pdf",2021-09-15,"uccelli bersaglio",1,20
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_09.pdf",2021-09-15,"uccelli selvatici",4,16
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_09.pdf",2021-09-15,"zanzare",6,72
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_10.pdf",2021-09-22,"uomini",4,36
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_10.pdf",2021-09-22,"equidi",1,2
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_10.pdf",2021-09-22,"uccelli bersaglio",0,20
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_10.pdf",2021-09-22,"uccelli selvatici",0,16
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_10.pdf",2021-09-22,"zanzare",0,72
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_11.pdf",2021-09-29,"uomini",9,45
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_11.pdf",2021-09-29,"equidi",0,2
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_11.pdf",2021-09-29,"uccelli bersaglio",6,26
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_11.pdf",2021-09-29,"uccelli selvatici",4,20
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_11.pdf",2021-09-29,"zanzare",0,72
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_12.pdf",2021-10-06,"uomini",7,52
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_12.pdf",2021-10-06,"equidi",0,2
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_12.pdf",2021-10-06,"uccelli bersaglio",1,27
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_12.pdf",2021-10-06,"uccelli selvatici",0,20
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_12.pdf",2021-10-06,"zanzare",0,72
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_13.pdf",2021-10-13,"uomini",0,52
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_13.pdf",2021-10-13,"equidi",2,4
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_13.pdf",2021-10-13,"uccelli bersaglio",1,28
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_13.pdf",2021-10-13,"uccelli selvatici",1,21
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_13.pdf",2021-10-13,"zanzare",1,73
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_14.pdf",2021-10-20,"uomini",2,54
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_14.pdf",2021-10-20,"equidi",0,4
"https://github.com/fbranda/west-nile/blob/main/2021/bollettini/WN_News_2021_14.pdf",2021-10-20,"uccelli bersaglio",0,28
