"url_bulletins","data","code_region","name_region","code_province","name_province","abbreviation_province","lat","long","new_cases","total_cases"
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_01.pdf",2024-06-26,13,"Abruzzo",69,"Chieti","CH",42.35103167,14.16754574,1,1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_02.pdf",2024-07-03,13,"Abruzzo",69,"Chieti","CH",42.35103167,14.16754574,0,1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_03.pdf",2024-07-14,13,"Abruzzo",69,"Chieti","CH",42.35103167,14.16754574,0,1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_03.pdf",2024-07-14,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,1,1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_03.pdf",2024-07-14,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,1,1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_04.pdf",2024-07-17,13,"Abruzzo",69,"Chieti","CH",42.35103167,14.16754574,0,1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_04.pdf",2024-07-17,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_04.pdf",2024-07-17,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,1,2
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_04.pdf",2024-07-17,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,1,1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_04.pdf",2024-07-17,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,3,3
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_04.pdf",2024-07-17,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,1,1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,1,2
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,3,4
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,3
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,7,9
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,1,1
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,2,2
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,2,2
"https://github.com/fbranda/west-nile/blob/main/2024/bulletins/WN_News_2024_05.pdf",2024-07-24,13,"Abruzzo",69,"Chieti","CH",42.35103167,14.16754574,0,1
