"url_bulletins","data","code_region","name_region","code_province","name_province","abbreviation_province","lat","long","new_cases","total_cases","new_deaths","total_deaths","num_equids_outbreak"
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_07.pdf",2022-08-02,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,2,2,0,0,35
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_07.pdf",2022-08-02,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,1,1,0,0,103
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_07.pdf",2022-08-02,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,1,1,0,0,15
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_08.pdf",2022-08-09,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,1,3,0,0,45
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_08.pdf",2022-08-09,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,1,1,1,1,194
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_08.pdf",2022-08-09,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,1,0,0,103
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_08.pdf",2022-08-09,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,1,0,0,15
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_09.pdf",2022-08-16,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,1,1,0,0,3
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_09.pdf",2022-08-16,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,3,0,0,45
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_09.pdf",2022-08-16,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,1,0,1,46
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_09.pdf",2022-08-16,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,1,0,0,103
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_09.pdf",2022-08-16,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,1,2,0,0,25
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_10.pdf",2022-08-23,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,1,0,0,3
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_10.pdf",2022-08-23,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,1,1,0,0,3
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_10.pdf",2022-08-23,1,"Piemonte",4,"Cuneo","CN",44.39329625,7.551171632,1,1,1,1,34
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_10.pdf",2022-08-23,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,2,2,1,1,2
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_10.pdf",2022-08-23,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,1,4,0,0,48
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_10.pdf",2022-08-23,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,1,0,1,46
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_10.pdf",2022-08-23,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,1,1,0,0,101
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_10.pdf",2022-08-23,6,"Friuli Venezia Giulia",30,"Udine","UD",46.06255516,13.2348383,1,1,0,0,1
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_10.pdf",2022-08-23,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,1,0,0,103
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_10.pdf",2022-08-23,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,2,0,0,25
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_11.pdf",2022-08-30,1,"Piemonte",96,"Biella","BI",45.5665112,8.054082167,1,1,0,0,24
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_11.pdf",2022-08-30,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,1,2,0,0,18
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_11.pdf",2022-08-30,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,0,1,0,0,38
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_11.pdf",2022-08-30,1,"Piemonte",4,"Cuneo","CN",44.39329625,7.551171632,0,1,0,1,34
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_11.pdf",2022-08-30,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,2,0,1,2
"https://github.com/fbranda/west-nile/blob/main/2022/bulletins/WN_News_2022_11.pdf",2022-08-30,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,1,1,0,0,9
