"url_bulletins","data","code_region","name_region","code_province","name_province","abbreviation_province","lat","long","new_cases","total_cases","host"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_06.pdf",2012-10-31,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_06.pdf",2012-10-31,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_06.pdf",2012-10-31,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_06.pdf",2012-10-31,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,"1",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_06.pdf",2012-10-31,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,"0",7,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_06.pdf",2012-10-31,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"0",28,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_06.pdf",2012-10-31,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_06.pdf",2012-10-31,17,"Basilicata",77,"Matera","MT",40.66751177,16.59792442,"1",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_06.pdf",2012-10-31,6,"Friuli Venezia Giulia",30,"Udine","UD",46.06255516,13.2348383,"1",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_07.pdf",2012-11-07,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_07.pdf",2012-11-07,17,"Basilicata",77,"Matera","MT",40.66751177,16.59792442,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_07.pdf",2012-11-07,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_07.pdf",2012-11-07,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_07.pdf",2012-11-07,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_07.pdf",2012-11-07,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,"0",7,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_07.pdf",2012-11-07,6,"Friuli Venezia Giulia",30,"Udine","UD",46.06255516,13.2348383,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_07.pdf",2012-11-07,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"0",28,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_08.pdf",2012-11-14,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_08.pdf",2012-11-14,17,"Basilicata",77,"Matera","MT",40.66751177,16.59792442,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_08.pdf",2012-11-14,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_08.pdf",2012-11-14,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_08.pdf",2012-11-14,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_08.pdf",2012-11-14,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,"0",7,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_08.pdf",2012-11-14,6,"Friuli Venezia Giulia",30,"Udine","UD",46.06255516,13.2348383,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_08.pdf",2012-11-14,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"0",28,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_09.pdf",2012-11-21,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_09.pdf",2012-11-21,17,"Basilicata",77,"Matera","MT",40.66751177,16.59792442,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_09.pdf",2012-11-21,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_09.pdf",2012-11-21,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_09.pdf",2012-11-21,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_09.pdf",2012-11-21,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,"0",7,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_09.pdf",2012-11-21,6,"Friuli Venezia Giulia",30,"Udine","UD",46.06255516,13.2348383,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_09.pdf",2012-11-21,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"0",28,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_10.pdf",2012-11-28,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_10.pdf",2012-11-28,17,"Basilicata",77,"Matera","MT",40.66751177,16.59792442,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_10.pdf",2012-11-28,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_10.pdf",2012-11-28,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_10.pdf",2012-11-28,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,"0",7,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_10.pdf",2012-11-28,6,"Friuli Venezia Giulia",30,"Udine","UD",46.06255516,13.2348383,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_10.pdf",2012-11-28,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"0",28,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_11.pdf",2012-12-05,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_11.pdf",2012-12-05,17,"Basilicata",77,"Matera","MT",40.66751177,16.59792442,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_11.pdf",2012-12-05,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_11.pdf",2012-12-05,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_11.pdf",2012-12-05,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_11.pdf",2012-12-05,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,"0",7,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_11.pdf",2012-12-05,6,"Friuli Venezia Giulia",30,"Udine","UD",46.06255516,13.2348383,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_11.pdf",2012-12-05,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"0",28,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_11.pdf",2012-12-05,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,"0",2,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_12.pdf",2012-12-12,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"0",1,"humans"
"https://github.com/fbranda/west-nile/blob/main/2012/bulletins/WN_News_2012_12.pdf",2012-12-12,17,"Basilicata",77,"Matera","MT",40.66751177,16.59792442,"0",1,"humans"
