"url_bollettino","data","host","nuovi_casi","casi_totali"
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_09.pdf",2019-10-02,"zanzare",3,48
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_10.pdf",2019-10-09,"uomini",2,44
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_10.pdf",2019-10-09,"equidi",1,8
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_10.pdf",2019-10-09,"uccelli bersaglio",2,61
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_10.pdf",2019-10-09,"uccelli selvatici",2,10
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_10.pdf",2019-10-09,"zanzare",2,50
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_11.pdf",2019-10-16,"uomini",0,44
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_11.pdf",2019-10-16,"equidi",0,8
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_11.pdf",2019-10-16,"uccelli bersaglio",3,64
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_11.pdf",2019-10-16,"uccelli selvatici",0,10
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_11.pdf",2019-10-16,"zanzare",1,51
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_12.pdf",2019-10-23,"uomini",4,48
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_12.pdf",2019-10-23,"equidi",0,8
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_12.pdf",2019-10-23,"uccelli bersaglio",3,67
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_12.pdf",2019-10-23,"uccelli selvatici",2,12
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_12.pdf",2019-10-23,"zanzare",0,51
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_13.pdf",2019-10-30,"uomini",2,50
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_13.pdf",2019-10-30,"equidi",0,8
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_13.pdf",2019-10-30,"uccelli bersaglio",1,68
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_13.pdf",2019-10-30,"uccelli selvatici",6,18
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_13.pdf",2019-10-30,"zanzare",0,51
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_14.pdf",2019-11-06,"uomini",5,55
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_14.pdf",2019-11-06,"equidi",0,8
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_14.pdf",2019-11-06,"uccelli bersaglio",0,68
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_14.pdf",2019-11-06,"uccelli selvatici",0,18
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_14.pdf",2019-11-06,"zanzare",0,51
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_15.pdf",2019-11-17,"uomini",0,55
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_15.pdf",2019-11-17,"equidi",0,8
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_15.pdf",2019-11-17,"uccelli bersaglio",6,74
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_15.pdf",2019-11-17,"uccelli selvatici",0,18
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_15.pdf",2019-11-17,"zanzare",0,51
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_16.pdf",2019-11-24,"uomini",1,56
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_16.pdf",2019-11-24,"equidi",0,8
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_16.pdf",2019-11-24,"uccelli bersaglio",1,75
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_16.pdf",2019-11-24,"uccelli selvatici",0,18
"https://github.com/fbranda/west-nile/blob/main/2019/bollettini/WN_News_2019_16.pdf",2019-11-24,"zanzare",0,51
