"url_bollettino","data","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","nuovi_casi","casi_totali","nuovi_morti_abbattuti","totale_morti_abbattuti","equidi_presenti_focolaio"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_09.pdf",2018-08-29,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,3,0,0,"5"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_09.pdf",2018-08-29,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,1,0,0,"2"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,1,"Piemonte",5,"Asti","AT",44.89912921,8.204142547,0,1,0,0,"53"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,1,"Piemonte",96,"Biella","BI",45.5665112,8.054082167,0,1,0,0,"100"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,7,0,1,"66"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,1,1,0,0,"3"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,0,1,0,0,"5"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1,0,0,"4"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,7,0,0,"18"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,12,20,0,0,"22"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,1,0,0,"106"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,2,21,0,0,"46"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,1,"Piemonte",1,"Torino","TO",45.0732745,7.680687483,0,2,0,1,"9"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,1,6,0,0,"7"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,3,15,0,0,"40"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,6,9,0,0,"11"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_10.pdf",2018-09-05,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,1,2,0,0,"3"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,1,"Piemonte",5,"Asti","AT",44.89912921,8.204142547,0,1,0,0,"53"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,1,"Piemonte",96,"Biella","BI",45.5665112,8.054082167,-2,5,0,0,"105"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,8,9,2,3,"173"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,0,1,0,0,"3"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,1,"Piemonte",4,"Cuneo","CN",44.39329625,7.551171632,-6,1,0,0,"10"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,0,1,0,0,"5"
"https://github.com/fbranda/west-nile/blob/main/2018/bollettini/WN_News_2018_11.pdf",2018-09-19,12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,1,1,0,0,"3"
