"url_bulletins","data","host","new_cases","total_cases"
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_01.pdf",2013-09-05,"humans",35,35
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_02.pdf",2013-09-12,"humans",7,42
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_03.pdf",2013-09-19,"humans",4,46
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_04.pdf",2013-09-26,"humans",14,60
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_05.pdf",2013-10-03,"humans",2,62
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_06.pdf",2013-10-10,"humans",4,66
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_07.pdf",2013-10-17,"humans",2,68
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_08.pdf",2013-10-24,"humans",0,68
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_09.pdf",2013-10-31,"humans",1,69
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_10.pdf",2013-11-07,"humans",0,69
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_11.pdf",2013-11-14,"humans",1,70
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_12.pdf",2013-11-21,"humans",0,70
"https://github.com/fbranda/west-nile/blob/main/2013/bulletins/WN_News_2013_13.pdf",2013-11-28,"humans",0,70
