"url_bulletins","data","code_region","name_region","code_province","name_province","abbreviation_province","lat","long","new_cases","total_cases","new_deaths","total_deaths","num_equids_outbreak"
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_01.pdf",2017-08-02,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,1,1,0,0,0
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_02.pdf",2017-08-10,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,1,0,0,4
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_02.pdf",2017-08-10,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,1,1,0,0,2
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_03.pdf",2017-08-30,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,1,1,0,0,1
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_03.pdf",2017-08-30,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,12,12,0,0,28
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_03.pdf",2017-08-30,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,8,9,0,0,63
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_03.pdf",2017-08-30,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,1,2,0,0,17
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_03.pdf",2017-08-30,12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,1,1,0,0,21
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_04.pdf",2017-09-06,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,0,1,0,0,1
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_04.pdf",2017-09-06,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,2,14,0,0,47
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_04.pdf",2017-09-06,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,9,0,0,63
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_04.pdf",2017-09-06,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,2,4,0,0,20
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_04.pdf",2017-09-06,12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,2,3,0,0,33
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_05.pdf",2017-09-13,9,"Toscana",53,"Grosseto","GR",42.76026758,11.11356398,1,1,0,0,1
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_05.pdf",2017-09-13,9,"Toscana",49,"Livorno","LI",43.55234873,10.3086781,1,1,1,1,8
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_05.pdf",2017-09-13,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,0,1,0,0,1
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_05.pdf",2017-09-13,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,10,24,0,0,52
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_05.pdf",2017-09-13,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,2,11,0,0,64
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_05.pdf",2017-09-13,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,1,5,0,0,21
"https://github.com/fbranda/west-nile/blob/main/2017/bulletins/WN_News_2017_05.pdf",2017-09-13,12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0,3,0,0,33
